景点名称,级别,经度,纬度,高德对应经度,高德对应纬度
上海国际旅游度假区,AAAA,31.16112,121.684,121.668326,31.142482
上海共青森林公园,AAAA,31.32654,121.558,121.545563,31.320774
召稼楼,AAA,31.08094,121.5556,121.548888,31.074651
朱家角,AAAA,31.11547,121.0632,121.046555,31.103775
大宁郁金香公园,AA,36.43264,110.7108,121.452291,31.274082
上海植物园,AAAA,31.1525,121.4502,121.44434,31.147231
上海顾村公园,AAAA,31.34847,121.3844,121.40105,31.061843
东方绿舟,AAAA,31.11078,121.0209,121.010601,31.103221
上海野生动物园,AAAAA,31.06218,121.7276,121.72167,31.05513
南翔,AAAA,31.29886,121.32,121.308647,31.300236
上海动物园,AAAA,31.19876,121.3692,121.362719,31.192878
嘉定州桥,AAAA,31.38635,121.2619,121.250395,31.384399
上海古猗园,AAAA,31.29849,121.3234,121.31673,31.29185
上海和平公园,AAA,31.27678,121.51,121.503132,31.270796
上海欢乐谷,AAAA,31.10248,121.2222,121.214767,31.096097
上海老外街,AAA,31.19708,121.394,121.418218,31.210266
上海田子坊,AAA,31.21388,121.4758,121.468819,31.207946
上海闵行体育公园,,31.15133,121.3765,121.370846,31.143152
上海科技馆,AAAAA,31.22413,121.5477,121.542492,31.219134
金山嘴渔村,AAA,30.90323,121.1798,121.3761,30.732704
上海辰山植物园,AAAA,31.08123,121.1892,121.182501,31.075935
新场古镇,AAA,31.03113,121.6525,121.647964,31.026858
上海音乐谷,AAA,31.24916,121.4879,121.473701,31.230416
炮台湾公园,AAAA,31.24916,121.4879,121.508604,31.396997
上海汽车博览公园,AAAA,31.28534,121.184,121.173757,31.278605
东方明珠广播电视塔,AAAAA,31.24541,121.5063,121.499809,31.239666
枫泾古镇,AAAA,30.89241,121.0232,121.016385,30.886828
上海鲜花港,AAAA,30.95272,121.908,121.9026,30.944121
上海世纪公园,AAAA,31.22178,121.5585,121.552556,31.215723
金茂大厦88层观光厅,AAAA,31.24092,121.5124,121.507061,31.234424
闻道园,AAAA,31.44335,121.3605,121.353067,31.437086
上海自然博物馆,AAAA,31.24188,121.4696,121.462648,31.234999
黄兴公园,AAA,31.29962,121.5362,121.530003,31.293311
上海豫园,AAAA,31.23238,121.4985,121.492081,31.226855
金山城市沙滩,AAAA,30.71464,121.3545,121.350561,30.709258
花米庄行,AA,31.1798,121.397,121.473701,31.230416
锦江乐园,AAAA,31.14544,121.4158,121.408605,31.139478
上海佘山国家森林公园,AAAA,31.09946,121.208,121.195595,31.097002
M50创意园,AAA,31.25395,121.4551,121.379331,31.277966
上海海湾国家森林公园,AAAA,30.86719,121.6928,121.520927,30.828697
上海都市菜园,AAAA,30.87121,121.5967,121.40105,31.061843
东平国家森林公园,AAAA,31.68925,121.4875,121.483256,31.671293
上海博物馆,AAAA,31.23427,121.482,121.475481,31.228364
上海海洋水族馆,AAAA,31.24622,121.5082,121.501982,31.240775
上海国际时尚中心,,31.27783,121.5637,121.557488,31.270678
上海月湖雕塑公园,AAAA,31.10564,121.2114,121.463899,31.23481
上海方塔园,AAAA,31.01043,121.2511,121.246506,31.004358
上海鲁迅公园,AAA,31.2775,121.4898,121.483579,31.271792
光明瑞华果园,AAA,31.81794,121.3378,121.40105,31.061843
明珠湖,AAAA,31.73215,121.2573,121.257942,31.752249
长风海洋世界,AAAA,31.22745,121.3996,121.418218,31.210266
上海影视乐园,AAA,31.01677,121.3181,121.312772,31.010148
佘山国家森林公园,AAAA,31.10062,121.2061,121.200807,31.089825
醉白池公园,AAA,31.00775,121.2375,121.230985,31.00176
上海杜莎夫人蜡像馆,,31.24053,121.4799,121.473678,31.235119
环球金融中心观光厅,AAAA,31.24024,121.5139,121.507061,31.234424
马陆葡萄主题公园,AAAA,31.39289,121.3159,121.283508,31.332788
中国航海博物馆,AAAA,30.90355,121.9261,121.919575,30.896095
南汇大团桃园,AAA,30.9916,121.7473,121.740897,30.984619
上海大观园,AAAA,31.07869,120.9165,120.910254,31.073401
上海雪浪湖生态园,AAAA,31.24916,121.4879,121.089287,30.929164
廊下生态园,AAA,30.79301,121.165,121.158668,30.784781
上海玻璃博物馆,AAA,31.34955,121.4785,121.471876,31.343666
上海城市规划展示馆,AAAA,31.23721,121.4819,121.475624,31.231464
上海宝山国际民间艺术博览馆,AAAA,31.39862,121.409,121.477028,31.406097
上海东林寺,AAAA,30.9001,121.1724,121.166017,30.894136
上海中医药博物馆,AAA,31.19863,121.6055,121.599164,31.192763
上海滨海森林公园,AAA,30.97877,121.9168,121.910913,30.96322
江南三民文化村,AAAA,31.15817,121.5239,121.45036,31.22433
上海老码头,AAA,31.22516,121.5123,121.505645,31.219553
华亭人家,AAA,31.4804,121.2583,121.251488,31.472256
前卫生态村,AAAA,31.72993,121.5181,121.510876,31.724015
徐家汇源,AAAA,31.19768,121.442,121.436675,31.190694
金山农民画村,AAA,30.9281,121.0237,121.01575,30.921545
上海宏泰园,AAA,31.39615,121.3047,121.2974,31.387534
上海宋庆龄故居纪念馆,AAAA,31.21058,121.4452,121.439004,31.204072
东方假日田园,AAA,31.40101,121.3352,121.328476,31.394623
瀛东生态村,AAA,31.46926,121.8502,121.832649,31.526355
上海南社纪念馆,AAA,30.80742,121.2923,121.28574,30.801754
碧海金沙水上乐园,AAAA,30.82428,121.5642,121.551,30.819515
福泉山遗址,AAA,31.20641,121.1837,121.177053,31.200575
